repo_id,repo_name,full_name,language,created_at,updated_at,pushed_at,default_branch,stargazers_count,watchers_count,forks_count,open_issues_count,size_kb,archived,disabled,is_fork
1194224592,github-analyser,Anamika1608/github-analyser,Haskell,2026-03-28T04:16:29Z,2026-03-28T18:30:48Z,2026-03-28T18:30:45Z,main,0,0,0,0,7,false,false,false
1181025794,dataframe,Anamika1608/dataframe,Haskell,2026-03-13T17:05:58Z,2026-03-27T12:00:30Z,2026-03-27T12:00:26Z,main,0,0,0,0,58273,false,false,true
913676386,my-oss-contributions,Anamika1608/my-oss-contributions,,2025-01-08T06:26:10Z,2026-03-26T17:18:26Z,2026-03-26T17:18:19Z,main,0,0,0,0,14,false,false,false
1175589781,behavioral-model,Anamika1608/behavioral-model,C++,2026-03-07T22:59:30Z,2026-03-11T18:08:12Z,2026-03-19T21:10:45Z,main,0,0,0,0,34042,false,false,true
1178110874,ptf,Anamika1608/ptf,Python,2026-03-10T17:41:51Z,2026-03-11T18:09:29Z,2026-03-19T21:10:33Z,main,0,0,0,1,578,false,false,true
806685390,Mini-ChatBox,Anamika1608/Mini-ChatBox,JavaScript,2024-05-27T17:21:57Z,2025-05-12T20:22:09Z,2026-03-13T17:28:40Z,main,0,0,0,1,3276,false,false,false
965218834,portfolio,Anamika1608/portfolio,TypeScript,2025-04-12T17:13:14Z,2026-03-12T18:56:38Z,2026-03-12T18:55:49Z,main,0,0,0,0,26460,false,false,false
1006049215,Detoxie,Anamika1608/Detoxie,TypeScript,2025-06-21T11:29:25Z,2026-03-12T18:29:44Z,2026-03-12T18:29:40Z,main,8,8,0,0,6127,false,false,false
1177122117,tutorials,Anamika1608/tutorials,Python,2026-03-09T18:04:08Z,2026-03-10T13:41:43Z,2026-03-10T13:41:38Z,master,0,0,0,0,49114,false,false,true
1175905425,p4c,Anamika1608/p4c,,2026-03-08T10:48:30Z,2026-03-08T10:48:30Z,2026-03-07T16:08:56Z,main,0,0,0,0,293814,false,false,true
1175594384,p4runtime,Anamika1608/p4runtime,,2026-03-07T23:10:05Z,2026-03-07T23:10:05Z,2026-03-02T00:05:09Z,main,0,0,0,0,8548,false,false,true
1167478654,hive,Anamika1608/hive,,2026-02-26T10:39:18Z,2026-02-26T10:39:18Z,2026-02-26T04:38:30Z,main,0,0,0,0,7979,false,false,true
1152932008,comet-assistant,Anamika1608/comet-assistant,Go,2026-02-08T16:50:58Z,2026-02-11T13:40:29Z,2026-02-11T13:31:30Z,main,0,0,0,0,119,false,false,false
1052912685,detoxie-website,Anamika1608/detoxie-website,TypeScript,2025-09-08T18:10:45Z,2026-01-31T17:04:25Z,2026-01-31T17:04:21Z,main,0,0,0,0,9388,false,false,false
1175948157,PI,Anamika1608/PI,,2026-03-08T12:06:29Z,2026-03-08T12:06:29Z,2025-12-15T09:04:57Z,main,0,0,0,0,3373,false,false,true
1170109183,graph-algorithms,Anamika1608/graph-algorithms,,2026-03-01T18:01:36Z,2026-03-01T18:01:36Z,2025-12-02T21:58:32Z,master,0,0,0,0,360,false,false,true
962130621,Friends-listing-webapp,Anamika1608/Friends-listing-webapp,Ruby,2025-04-07T17:38:45Z,2025-05-05T06:20:26Z,2025-11-20T16:30:27Z,main,0,0,0,12,91,false,false,false
1082422122,svelte,Anamika1608/svelte,JavaScript,2025-10-24T08:08:31Z,2025-10-24T08:08:40Z,2025-10-24T08:08:36Z,main,0,0,0,0,18,false,false,false
826200277,Anamika1608,Anamika1608/Anamika1608,,2024-07-09T09:00:49Z,2025-10-17T16:49:30Z,2025-10-17T16:49:26Z,main,0,0,0,0,49,false,false,false
1068678670,job-hunter-mvp,Anamika1608/job-hunter-mvp,TypeScript,2025-10-02T18:37:58Z,2025-10-02T19:24:52Z,2025-10-02T19:23:23Z,main,0,0,0,0,78,false,false,false
1021561579,automate-reporting,Anamika1608/automate-reporting,TypeScript,2025-07-17T15:28:46Z,2025-10-02T12:30:10Z,2025-10-02T12:29:46Z,main,0,0,0,0,22723,false,false,false
1060061366,video-editing-app,Anamika1608/video-editing-app,TypeScript,2025-09-19T10:26:46Z,2025-10-02T12:13:09Z,2025-09-20T13:53:46Z,main,0,0,0,0,5079,false,false,false
1023829923,Echosphere,Anamika1608/Echosphere,TypeScript,2025-07-21T18:59:58Z,2026-03-10T15:31:06Z,2025-09-14T05:35:30Z,main,1,1,1,0,34247,false,false,false
970736000,consuldemocracy,Anamika1608/consuldemocracy,Ruby,2025-04-22T13:09:25Z,2025-09-12T06:32:38Z,2025-09-12T06:42:04Z,master,0,0,0,0,99708,false,false,true
1053956721,SIH-2025,Anamika1608/SIH-2025,,2025-09-10T07:01:34Z,2025-09-10T07:01:34Z,2025-09-08T19:48:24Z,main,0,0,0,0,141,false,false,true
848245523,Jivika,Anamika1608/Jivika,JavaScript,2024-08-27T12:09:27Z,2025-09-07T10:47:48Z,2025-09-07T10:47:44Z,main,0,0,0,0,85394,false,false,false
1019603656,cilium.io,Anamika1608/cilium.io,JavaScript,2025-07-14T15:27:21Z,2025-08-23T11:58:55Z,2025-08-25T18:05:49Z,main,0,0,0,0,312104,false,false,true
1041538502,defiGuard,Anamika1608/defiGuard,CSS,2025-08-20T16:27:10Z,2025-08-23T12:57:36Z,2025-08-20T19:14:10Z,main,0,0,0,0,3907,false,false,false
1039025306,user-profile-manager,Anamika1608/user-profile-manager,TypeScript,2025-08-16T10:13:31Z,2025-08-27T16:55:31Z,2025-08-16T16:57:05Z,main,0,0,0,0,369,false,false,false
983667523,Estate-Based-Residency-Tracker,Anamika1608/Estate-Based-Residency-Tracker,TypeScript,2025-05-14T18:18:41Z,2025-07-15T04:22:46Z,2025-07-15T04:22:43Z,main,1,1,0,0,918,false,false,false
884786379,Data-Structures-and-Algorithms,Anamika1608/Data-Structures-and-Algorithms,C++,2024-11-07T11:44:10Z,2025-07-05T17:11:24Z,2025-07-05T17:11:21Z,main,0,0,0,0,385,false,false,false
924304968,Safire,Anamika1608/Safire,TypeScript,2025-01-29T19:10:44Z,2026-03-12T18:30:54Z,2025-06-05T05:10:51Z,main,6,6,0,0,7719,false,false,false
976095379,Anamika1608.github.io,Anamika1608/Anamika1608.github.io,CSS,2025-05-01T13:38:25Z,2025-05-31T04:21:13Z,2025-05-31T04:21:09Z,main,0,0,0,0,9,false,false,false
990029023,sql-plugin,Anamika1608/sql-plugin,Go,2025-05-25T11:01:47Z,2025-05-25T13:39:46Z,2025-05-25T13:39:42Z,main,0,0,0,0,25,false,false,false
986784654,volcano,Anamika1608/volcano,Go,2025-05-20T05:56:36Z,2025-05-25T04:53:21Z,2025-05-25T04:53:13Z,master,0,0,0,0,86119,false,false,true
981499525,pipecd,Anamika1608/pipecd,Go,2025-05-11T08:50:17Z,2025-05-16T10:14:01Z,2025-05-16T10:17:48Z,master,0,0,0,0,75807,false,false,true
984497582,headlamp,Anamika1608/headlamp,,2025-05-16T03:09:29Z,2025-05-16T03:09:29Z,2025-05-15T21:17:49Z,main,0,0,0,0,117396,false,false,true
981463229,re-memorise,Anamika1608/re-memorise,Go,2025-05-11T06:53:25Z,2025-05-11T08:20:55Z,2025-05-11T08:20:22Z,main,0,0,0,0,3,false,false,false
979824214,Go-Basics,Anamika1608/Go-Basics,Go,2025-05-08T06:03:02Z,2025-05-11T08:21:40Z,2025-05-08T10:22:57Z,main,0,0,0,0,2,false,false,false
979792451,ui,Anamika1608/ui,,2025-05-08T04:37:52Z,2025-05-08T04:37:52Z,2025-05-07T15:02:14Z,dev,0,0,0,0,2988,false,false,true
957564712,Blogosphere,Anamika1608/Blogosphere,TypeScript,2025-03-30T17:17:03Z,2025-05-05T06:26:07Z,2025-05-05T06:26:03Z,main,0,0,0,0,500,false,false,false
823956956,SkyMate,Anamika1608/SkyMate,JavaScript,2024-07-04T04:57:46Z,2025-05-05T06:15:22Z,2025-05-05T06:15:19Z,main,0,0,0,0,20427,false,false,false
965504560,stock-app,Anamika1608/stock-app,TypeScript,2025-04-13T10:06:04Z,2025-05-05T06:21:17Z,2025-04-13T11:31:03Z,main,0,0,0,0,787,false,false,false
959805511,IEEE-Task-01,Anamika1608/IEEE-Task-01,HTML,2025-04-03T11:34:29Z,2025-05-05T06:21:54Z,2025-04-03T11:34:32Z,main,0,0,0,0,1,false,false,false
956625039,vs-buddy,Anamika1608/vs-buddy,TypeScript,2025-03-28T15:15:40Z,2025-04-01T17:52:33Z,2025-04-01T17:52:30Z,main,0,0,0,0,37,false,false,false
